
이름,아이디,패스워드,전화번호,주소,등급
알베르토,id001,pwd001,010-9991-1233,부산 해운대 세실로 38-1,VVIP
타일러,id002,pwd002,010-9991-1235,부산 부산진구 가야대로 772,VIP
다니엘,id003,pwd003,010-7651-3123,경기도 성남시 분당구 성남대로 57,일반
기욤 패트리,id004,pwd004,010-2391-5123,대전시 유성구 계룡로 114,골드
마크 테토,id005,pwd005,010-9991-1754,경남 진주시 강남로 331번길,일반
자히드 후세인,id006,pwd006,010-5678-1123,서울 강남구 강남대로 100길,VIP
오헬리엉 루베르,id007,pwd007,010-7777-0777,서울 용산구 두텁바위로 13길,실버
알렉스 맞추켈리,id008,pwd008,010-0888-0088,경기도 화성시 병점로81,실버
니클라스 클라분데,id009,pwd009,010-9919-2389,서울 강서구 공항대로 63길,일반
크리스티안 부르고스,id010,pwd010,010-5578-6689,경기도 용인시 처인구 금령로 106,골드
미미,id011,pwd011,010-2546-9755,부산시 해운대구 좌동순환로105,일반
홍길동,id012,pwd012,010-5412-3636,부산시 기장군 기장대로 107,일반

